gender,phone_use_hours,sleep_hours,person_interaction,social_media_hours,gaming_hours,educational_hours,family_communication,phone_anxiety,phone_during_meals,lose_track_time,performance_impact,phone_before_sleep,phone_after_wakeup,phone_addiction
male,less than 2 hours,less than 4 hours,rarely,more than 9 hours,less than 1 hour,1 to 3 hours,rarely,always,never,never,often,always,never,yes
female,8 to 10 hours,4 to 6 hours,rarely,4 to 6 hours,1 to 3 hours,more than 9 hours,never,never,always,never,rarely,sometimes,never,yes
male,8 to 10 hours,7 to 8 hours,always,1 to 3 hours,1 to 3 hours,1 to 3 hours,rarely,never,sometimes,rarely,never,never,never,no
female,2 to 4 hours,7 to 8 hours,sometimes,4 to 6 hours,1 to 3 hours,1 to 3 hours,sometimes,always,sometimes,often,never,sometimes,often,no
male,more than 10 hours,less than 4 hours,rarely,more than 9 hours,less than 1 hour,1 to 3 hours,often,always,often,rarely,sometimes,never,never,yes
female,2 to 4 hours,less than 4 hours,rarely,4 to 6 hours,7 to 9 hours,4 to 6 hours,always,sometimes,often,rarely,always,sometimes,rarely,yes
male,2 to 4 hours,4 to 6 hours,always,4 to 6 hours,more than 9 hours,7 to 9 hours,rarely,sometimes,rarely,always,sometimes,never,sometimes,no
male,more than 10 hours,7 to 8 hours,always,1 to 3 hours,less than 1 hour,7 to 9 hours,always,rarely,always,always,never,often,often,no
male,5 to 7 hours,4 to 6 hours,rarely,7 to 9 hours,more than 9 hours,4 to 6 hours,sometimes,often,sometimes,sometimes,sometimes,rarely,sometimes,yes
female,less than 2 hours,4 to 6 hours,often,more than 9 hours,1 to 3 hours,7 to 9 hours,always,never,rarely,sometimes,sometimes,often,never,no
female,more than 10 hours,4 to 6 hours,never,less than 1 hour,more than 9 hours,1 to 3 hours,sometimes,always,never,rarely,sometimes,never,always,yes
female,5 to 7 hours,more than 8 hours,never,less than 1 hour,1 to 3 hours,less than 1 hour,always,rarely,rarely,rarely,sometimes,always,never,no
male,2 to 4 hours,4 to 6 hours,rarely,more than 9 hours,less than 1 hour,1 to 3 hours,sometimes,often,rarely,never,never,never,rarely,no
male,more than 10 hours,7 to 8 hours,always,more than 9 hours,7 to 9 hours,1 to 3 hours,never,never,never,always,always,often,always,yes
male,2 to 4 hours,less than 4 hours,rarely,7 to 9 hours,4 to 6 hours,less than 1 hour,often,often,never,often,often,often,sometimes,yes
male,less than 2 hours,less than 4 hours,rarely,more than 9 hours,4 to 6 hours,4 to 6 hours,often,always,often,sometimes,often,rarely,often,yes
female,5 to 7 hours,4 to 6 hours,often,less than 1 hour,more than 9 hours,4 to 6 hours,rarely,never,rarely,never,always,often,rarely,yes
male,5 to 7 hours,more than 8 hours,never,more than 9 hours,less than 1 hour,less than 1 hour,rarely,never,always,sometimes,always,sometimes,often,yes
female,5 to 7 hours,less than 4 hours,rarely,less than 1 hour,1 to 3 hours,less than 1 hour,often,always,often,never,rarely,sometimes,rarely,yes
female,more than 10 hours,more than 8 hours,rarely,more than 9 hours,7 to 9 hours,less than 1 hour,sometimes,rarely,rarely,never,always,never,rarely,yes
female,more than 10 hours,less than 4 hours,always,1 to 3 hours,7 to 9 hours,less than 1 hour,rarely,sometimes,rarely,never,always,often,sometimes,yes
male,5 to 7 hours,more than 8 hours,rarely,7 to 9 hours,4 to 6 hours,7 to 9 hours,always,often,never,rarely,sometimes,often,rarely,yes
male,less than 2 hours,7 to 8 hours,always,less than 1 hour,less than 1 hour,4 to 6 hours,never,rarely,often,always,often,often,often,yes
female,less than 2 hours,less than 4 hours,rarely,7 to 9 hours,more than 9 hours,1 to 3 hours,rarely,sometimes,always,never,always,always,never,yes
female,5 to 7 hours,4 to 6 hours,sometimes,less than 1 hour,4 to 6 hours,7 to 9 hours,sometimes,sometimes,never,often,sometimes,often,rarely,no
male,more than 10 hours,4 to 6 hours,often,1 to 3 hours,7 to 9 hours,more than 9 hours,rarely,sometimes,never,sometimes,always,rarely,always,yes
female,more than 10 hours,more than 8 hours,rarely,1 to 3 hours,more than 9 hours,more than 9 hours,sometimes,never,often,always,often,sometimes,never,yes
female,8 to 10 hours,more than 8 hours,never,less than 1 hour,4 to 6 hours,less than 1 hour,sometimes,often,never,sometimes,rarely,often,sometimes,yes
female,8 to 10 hours,less than 4 hours,rarely,4 to 6 hours,more than 9 hours,less than 1 hour,often,never,never,rarely,rarely,often,sometimes,yes
male,8 to 10 hours,7 to 8 hours,sometimes,1 to 3 hours,more than 9 hours,4 to 6 hours,sometimes,always,sometimes,often,never,sometimes,always,no
male,5 to 7 hours,more than 8 hours,always,more than 9 hours,less than 1 hour,more than 9 hours,sometimes,rarely,sometimes,rarely,always,rarely,rarely,no
male,8 to 10 hours,less than 4 hours,rarely,4 to 6 hours,less than 1 hour,more than 9 hours,always,rarely,rarely,never,always,never,sometimes,no
male,2 to 4 hours,7 to 8 hours,always,1 to 3 hours,1 to 3 hours,4 to 6 hours,often,often,often,sometimes,never,never,always,no
male,more than 10 hours,less than 4 hours,never,4 to 6 hours,7 to 9 hours,1 to 3 hours,always,often,often,never,rarely,never,often,yes
male,5 to 7 hours,4 to 6 hours,often,less than 1 hour,less than 1 hour,1 to 3 hours,sometimes,sometimes,often,often,sometimes,rarely,rarely,no
female,2 to 4 hours,less than 4 hours,often,1 to 3 hours,7 to 9 hours,less than 1 hour,sometimes,rarely,always,sometimes,often,sometimes,always,yes
female,less than 2 hours,less than 4 hours,rarely,more than 9 hours,1 to 3 hours,more than 9 hours,rarely,never,always,rarely,often,often,sometimes,yes
female,5 to 7 hours,less than 4 hours,sometimes,4 to 6 hours,1 to 3 hours,1 to 3 hours,always,often,rarely,sometimes,often,sometimes,often,yes
male,less than 2 hours,less than 4 hours,sometimes,more than 9 hours,7 to 9 hours,4 to 6 hours,rarely,sometimes,always,always,never,rarely,often,yes
female,5 to 7 hours,more than 8 hours,never,less than 1 hour,more than 9 hours,more than 9 hours,always,often,always,sometimes,sometimes,always,always,yes
male,5 to 7 hours,less than 4 hours,sometimes,7 to 9 hours,more than 9 hours,4 to 6 hours,sometimes,sometimes,often,sometimes,always,never,sometimes,yes
male,8 to 10 hours,7 to 8 hours,always,less than 1 hour,less than 1 hour,4 to 6 hours,rarely,sometimes,never,rarely,often,never,never,no
female,more than 10 hours,4 to 6 hours,often,1 to 3 hours,more than 9 hours,more than 9 hours,often,rarely,rarely,often,rarely,often,often,yes
male,5 to 7 hours,more than 8 hours,rarely,1 to 3 hours,4 to 6 hours,7 to 9 hours,rarely,always,always,sometimes,rarely,sometimes,always,yes
male,2 to 4 hours,less than 4 hours,never,7 to 9 hours,more than 9 hours,less than 1 hour,rarely,always,always,never,often,often,often,yes
female,8 to 10 hours,less than 4 hours,always,4 to 6 hours,more than 9 hours,7 to 9 hours,often,always,often,sometimes,sometimes,always,rarely,yes
female,less than 2 hours,less than 4 hours,always,more than 9 hours,more than 9 hours,less than 1 hour,rarely,never,often,always,never,never,always,yes
female,more than 10 hours,more than 8 hours,rarely,less than 1 hour,7 to 9 hours,4 to 6 hours,rarely,often,often,often,sometimes,always,rarely,yes
female,less than 2 hours,7 to 8 hours,often,more than 9 hours,4 to 6 hours,less than 1 hour,rarely,never,sometimes,sometimes,rarely,often,always,yes
female,2 to 4 hours,4 to 6 hours,always,7 to 9 hours,4 to 6 hours,1 to 3 hours,never,sometimes,sometimes,rarely,never,sometimes,rarely,no
male,2 to 4 hours,7 to 8 hours,often,4 to 6 hours,1 to 3 hours,less than 1 hour,often,never,rarely,often,never,sometimes,often,no
female,more than 10 hours,7 to 8 hours,always,1 to 3 hours,less than 1 hour,7 to 9 hours,rarely,sometimes,rarely,always,always,never,often,no
female,5 to 7 hours,7 to 8 hours,rarely,4 to 6 hours,1 to 3 hours,1 to 3 hours,sometimes,rarely,never,sometimes,never,rarely,often,no
male,more than 10 hours,more than 8 hours,never,less than 1 hour,more than 9 hours,more than 9 hours,never,sometimes,rarely,never,always,rarely,always,yes
female,5 to 7 hours,less than 4 hours,always,less than 1 hour,1 to 3 hours,more than 9 hours,never,sometimes,sometimes,often,rarely,never,often,no
female,5 to 7 hours,less than 4 hours,rarely,7 to 9 hours,7 to 9 hours,less than 1 hour,rarely,sometimes,always,never,always,rarely,always,yes
female,2 to 4 hours,4 to 6 hours,never,more than 9 hours,1 to 3 hours,1 to 3 hours,often,rarely,often,rarely,sometimes,never,rarely,no
female,less than 2 hours,less than 4 hours,sometimes,7 to 9 hours,1 to 3 hours,4 to 6 hours,often,always,sometimes,never,sometimes,never,never,no
male,more than 10 hours,7 to 8 hours,never,4 to 6 hours,4 to 6 hours,4 to 6 hours,often,sometimes,often,always,always,rarely,often,yes
male,5 to 7 hours,7 to 8 hours,rarely,4 to 6 hours,less than 1 hour,1 to 3 hours,never,always,sometimes,always,often,sometimes,sometimes,yes
male,8 to 10 hours,4 to 6 hours,sometimes,1 to 3 hours,more than 9 hours,7 to 9 hours,never,sometimes,often,often,never,never,often,yes
male,less than 2 hours,more than 8 hours,never,more than 9 hours,1 to 3 hours,1 to 3 hours,never,never,often,sometimes,always,always,often,yes
female,2 to 4 hours,more than 8 hours,never,4 to 6 hours,more than 9 hours,less than 1 hour,always,often,often,sometimes,rarely,never,always,yes
female,more than 10 hours,4 to 6 hours,always,1 to 3 hours,4 to 6 hours,4 to 6 hours,often,sometimes,often,never,sometimes,always,never,no
female,8 to 10 hours,less than 4 hours,sometimes,1 to 3 hours,4 to 6 hours,4 to 6 hours,often,rarely,sometimes,never,rarely,never,sometimes,no
female,8 to 10 hours,more than 8 hours,rarely,4 to 6 hours,7 to 9 hours,less than 1 hour,never,always,often,often,rarely,never,always,yes
female,more than 10 hours,less than 4 hours,often,7 to 9 hours,more than 9 hours,less than 1 hour,sometimes,often,often,often,often,never,rarely,yes
female,less than 2 hours,more than 8 hours,always,less than 1 hour,1 to 3 hours,1 to 3 hours,always,sometimes,often,always,rarely,sometimes,rarely,no
female,2 to 4 hours,4 to 6 hours,always,7 to 9 hours,less than 1 hour,4 to 6 hours,rarely,always,always,never,rarely,never,always,yes
male,less than 2 hours,7 to 8 hours,always,4 to 6 hours,7 to 9 hours,more than 9 hours,rarely,sometimes,always,sometimes,often,rarely,never,no
female,more than 10 hours,7 to 8 hours,often,7 to 9 hours,less than 1 hour,more than 9 hours,sometimes,sometimes,sometimes,often,sometimes,often,often,no
female,5 to 7 hours,7 to 8 hours,rarely,1 to 3 hours,1 to 3 hours,7 to 9 hours,rarely,always,rarely,often,always,rarely,always,yes
male,5 to 7 hours,4 to 6 hours,never,1 to 3 hours,more than 9 hours,1 to 3 hours,never,sometimes,sometimes,never,often,rarely,never,yes
female,less than 2 hours,more than 8 hours,rarely,7 to 9 hours,4 to 6 hours,7 to 9 hours,rarely,always,always,always,often,often,often,yes
female,more than 10 hours,more than 8 hours,always,less than 1 hour,7 to 9 hours,less than 1 hour,often,often,rarely,sometimes,sometimes,sometimes,rarely,no
male,5 to 7 hours,more than 8 hours,often,less than 1 hour,7 to 9 hours,1 to 3 hours,never,often,never,sometimes,never,sometimes,sometimes,no
female,8 to 10 hours,4 to 6 hours,often,less than 1 hour,4 to 6 hours,7 to 9 hours,always,rarely,rarely,often,always,always,sometimes,yes
female,2 to 4 hours,4 to 6 hours,rarely,4 to 6 hours,1 to 3 hours,more than 9 hours,always,never,never,often,never,often,sometimes,no
female,2 to 4 hours,7 to 8 hours,often,1 to 3 hours,4 to 6 hours,4 to 6 hours,always,always,always,sometimes,sometimes,often,sometimes,no
female,less than 2 hours,4 to 6 hours,rarely,4 to 6 hours,less than 1 hour,4 to 6 hours,rarely,rarely,often,never,never,rarely,never,no
female,8 to 10 hours,less than 4 hours,always,4 to 6 hours,more than 9 hours,less than 1 hour,rarely,always,sometimes,always,never,always,always,yes
female,8 to 10 hours,more than 8 hours,rarely,more than 9 hours,1 to 3 hours,1 to 3 hours,never,often,sometimes,often,never,rarely,sometimes,yes
female,2 to 4 hours,less than 4 hours,never,less than 1 hour,7 to 9 hours,7 to 9 hours,often,never,always,always,often,often,never,yes
male,more than 10 hours,more than 8 hours,often,4 to 6 hours,7 to 9 hours,more than 9 hours,always,sometimes,sometimes,sometimes,often,often,sometimes,no
female,less than 2 hours,more than 8 hours,never,less than 1 hour,more than 9 hours,7 to 9 hours,rarely,rarely,rarely,sometimes,never,always,never,no
female,8 to 10 hours,less than 4 hours,rarely,less than 1 hour,1 to 3 hours,7 to 9 hours,often,never,never,always,sometimes,rarely,often,no
male,8 to 10 hours,less than 4 hours,never,more than 9 hours,less than 1 hour,4 to 6 hours,sometimes,never,sometimes,sometimes,rarely,always,rarely,no
female,less than 2 hours,4 to 6 hours,never,more than 9 hours,more than 9 hours,4 to 6 hours,sometimes,always,sometimes,often,rarely,sometimes,always,yes
female,more than 10 hours,7 to 8 hours,rarely,4 to 6 hours,1 to 3 hours,1 to 3 hours,sometimes,often,often,rarely,rarely,rarely,rarely,yes
female,8 to 10 hours,7 to 8 hours,often,1 to 3 hours,less than 1 hour,7 to 9 hours,never,rarely,sometimes,sometimes,never,always,always,no
female,2 to 4 hours,less than 4 hours,often,less than 1 hour,1 to 3 hours,less than 1 hour,never,never,often,rarely,always,sometimes,often,yes
male,more than 10 hours,4 to 6 hours,sometimes,1 to 3 hours,more than 9 hours,7 to 9 hours,always,sometimes,never,rarely,often,sometimes,sometimes,no
male,less than 2 hours,more than 8 hours,often,more than 9 hours,more than 9 hours,7 to 9 hours,sometimes,always,often,sometimes,never,always,always,yes
male,5 to 7 hours,7 to 8 hours,rarely,4 to 6 hours,1 to 3 hours,1 to 3 hours,always,sometimes,never,sometimes,always,never,sometimes,no
female,more than 10 hours,7 to 8 hours,rarely,4 to 6 hours,more than 9 hours,more than 9 hours,rarely,never,often,never,rarely,rarely,often,yes
male,more than 10 hours,more than 8 hours,always,more than 9 hours,more than 9 hours,1 to 3 hours,rarely,rarely,often,often,sometimes,never,always,yes
male,less than 2 hours,more than 8 hours,never,less than 1 hour,1 to 3 hours,1 to 3 hours,never,rarely,often,rarely,sometimes,often,sometimes,no
female,5 to 7 hours,4 to 6 hours,sometimes,less than 1 hour,7 to 9 hours,1 to 3 hours,never,always,rarely,often,never,often,often,yes
female,5 to 7 hours,less than 4 hours,always,more than 9 hours,more than 9 hours,1 to 3 hours,sometimes,always,rarely,rarely,always,never,often,yes
male,less than 2 hours,more than 8 hours,never,1 to 3 hours,less than 1 hour,less than 1 hour,rarely,always,rarely,never,rarely,always,never,no
female,2 to 4 hours,4 to 6 hours,sometimes,4 to 6 hours,4 to 6 hours,7 to 9 hours,often,sometimes,never,often,always,sometimes,never,no
female,2 to 4 hours,more than 8 hours,often,7 to 9 hours,1 to 3 hours,less than 1 hour,often,sometimes,often,never,always,rarely,often,no
female,less than 2 hours,7 to 8 hours,never,less than 1 hour,4 to 6 hours,more than 9 hours,often,often,rarely,never,always,rarely,often,no
female,5 to 7 hours,more than 8 hours,rarely,less than 1 hour,1 to 3 hours,4 to 6 hours,always,sometimes,often,rarely,rarely,rarely,rarely,no
female,8 to 10 hours,7 to 8 hours,always,more than 9 hours,7 to 9 hours,more than 9 hours,rarely,often,never,never,rarely,never,rarely,no
female,more than 10 hours,less than 4 hours,never,4 to 6 hours,7 to 9 hours,less than 1 hour,often,often,never,rarely,often,rarely,sometimes,yes
male,less than 2 hours,more than 8 hours,never,more than 9 hours,less than 1 hour,7 to 9 hours,always,rarely,always,sometimes,always,sometimes,rarely,no
male,5 to 7 hours,more than 8 hours,sometimes,1 to 3 hours,7 to 9 hours,more than 9 hours,often,rarely,always,rarely,always,never,sometimes,no
male,8 to 10 hours,less than 4 hours,never,less than 1 hour,4 to 6 hours,4 to 6 hours,often,often,sometimes,rarely,sometimes,often,often,yes
female,less than 2 hours,7 to 8 hours,often,4 to 6 hours,4 to 6 hours,1 to 3 hours,often,never,never,never,always,rarely,often,no
male,more than 10 hours,4 to 6 hours,rarely,more than 9 hours,less than 1 hour,4 to 6 hours,often,rarely,never,rarely,always,rarely,never,no
female,8 to 10 hours,7 to 8 hours,sometimes,4 to 6 hours,7 to 9 hours,less than 1 hour,always,often,always,sometimes,always,always,rarely,yes
female,2 to 4 hours,more than 8 hours,always,4 to 6 hours,more than 9 hours,4 to 6 hours,rarely,always,sometimes,always,always,never,rarely,yes
female,2 to 4 hours,less than 4 hours,always,4 to 6 hours,4 to 6 hours,more than 9 hours,rarely,sometimes,often,always,never,rarely,never,yes
female,less than 2 hours,less than 4 hours,often,1 to 3 hours,4 to 6 hours,1 to 3 hours,never,often,always,sometimes,often,never,never,yes
female,2 to 4 hours,more than 8 hours,always,more than 9 hours,1 to 3 hours,1 to 3 hours,sometimes,always,often,often,rarely,often,sometimes,yes
female,more than 10 hours,more than 8 hours,always,4 to 6 hours,more than 9 hours,4 to 6 hours,always,always,rarely,rarely,sometimes,sometimes,never,no
male,2 to 4 hours,more than 8 hours,rarely,less than 1 hour,4 to 6 hours,more than 9 hours,always,rarely,often,rarely,always,often,always,yes
male,less than 2 hours,less than 4 hours,sometimes,1 to 3 hours,1 to 3 hours,7 to 9 hours,never,always,rarely,always,never,often,often,yes
female,more than 10 hours,4 to 6 hours,always,1 to 3 hours,1 to 3 hours,more than 9 hours,rarely,always,rarely,never,never,often,often,yes
male,5 to 7 hours,7 to 8 hours,always,less than 1 hour,1 to 3 hours,less than 1 hour,rarely,sometimes,sometimes,always,always,sometimes,often,yes
male,less than 2 hours,4 to 6 hours,rarely,less than 1 hour,less than 1 hour,7 to 9 hours,always,always,often,rarely,always,always,often,yes
female,5 to 7 hours,7 to 8 hours,sometimes,more than 9 hours,more than 9 hours,1 to 3 hours,sometimes,rarely,never,often,rarely,rarely,always,yes
male,more than 10 hours,less than 4 hours,never,1 to 3 hours,1 to 3 hours,1 to 3 hours,always,sometimes,often,always,always,often,rarely,yes
male,2 to 4 hours,less than 4 hours,often,less than 1 hour,4 to 6 hours,1 to 3 hours,always,sometimes,rarely,rarely,often,always,often,yes
female,less than 2 hours,more than 8 hours,rarely,less than 1 hour,7 to 9 hours,more than 9 hours,often,never,sometimes,rarely,sometimes,rarely,never,no
male,less than 2 hours,7 to 8 hours,sometimes,less than 1 hour,more than 9 hours,1 to 3 hours,often,rarely,sometimes,always,often,rarely,never,no
female,8 to 10 hours,less than 4 hours,rarely,4 to 6 hours,more than 9 hours,less than 1 hour,never,often,often,often,always,rarely,rarely,yes
male,2 to 4 hours,more than 8 hours,rarely,less than 1 hour,less than 1 hour,4 to 6 hours,often,always,rarely,sometimes,sometimes,never,often,no
female,5 to 7 hours,4 to 6 hours,rarely,4 to 6 hours,less than 1 hour,more than 9 hours,often,rarely,never,sometimes,rarely,rarely,rarely,no
female,8 to 10 hours,less than 4 hours,often,less than 1 hour,7 to 9 hours,7 to 9 hours,always,often,sometimes,always,never,never,sometimes,no
female,2 to 4 hours,7 to 8 hours,always,less than 1 hour,7 to 9 hours,more than 9 hours,never,sometimes,never,never,rarely,never,always,no
female,5 to 7 hours,7 to 8 hours,rarely,7 to 9 hours,less than 1 hour,1 to 3 hours,rarely,rarely,often,often,sometimes,rarely,rarely,yes
female,8 to 10 hours,7 to 8 hours,rarely,less than 1 hour,less than 1 hour,less than 1 hour,often,sometimes,sometimes,rarely,always,rarely,often,no
female,more than 10 hours,4 to 6 hours,rarely,less than 1 hour,4 to 6 hours,more than 9 hours,often,sometimes,never,often,rarely,often,never,yes
female,more than 10 hours,7 to 8 hours,always,4 to 6 hours,1 to 3 hours,7 to 9 hours,never,rarely,rarely,often,always,always,often,yes
male,8 to 10 hours,more than 8 hours,sometimes,4 to 6 hours,4 to 6 hours,4 to 6 hours,always,never,often,rarely,sometimes,sometimes,never,no
male,8 to 10 hours,4 to 6 hours,rarely,4 to 6 hours,1 to 3 hours,4 to 6 hours,rarely,often,rarely,sometimes,sometimes,sometimes,rarely,yes
male,2 to 4 hours,more than 8 hours,sometimes,4 to 6 hours,more than 9 hours,more than 9 hours,always,rarely,always,never,always,always,always,yes
male,less than 2 hours,less than 4 hours,sometimes,7 to 9 hours,less than 1 hour,less than 1 hour,never,never,always,often,rarely,always,often,yes
female,more than 10 hours,more than 8 hours,often,1 to 3 hours,more than 9 hours,4 to 6 hours,often,never,often,sometimes,often,never,sometimes,no
male,less than 2 hours,less than 4 hours,rarely,4 to 6 hours,less than 1 hour,more than 9 hours,rarely,never,always,rarely,often,rarely,never,yes
male,2 to 4 hours,7 to 8 hours,never,4 to 6 hours,1 to 3 hours,7 to 9 hours,rarely,often,sometimes,rarely,sometimes,always,always,yes
male,5 to 7 hours,4 to 6 hours,always,more than 9 hours,less than 1 hour,more than 9 hours,sometimes,rarely,rarely,always,rarely,always,rarely,no
female,less than 2 hours,less than 4 hours,always,7 to 9 hours,less than 1 hour,more than 9 hours,often,rarely,never,often,always,sometimes,rarely,no
male,8 to 10 hours,7 to 8 hours,rarely,1 to 3 hours,4 to 6 hours,1 to 3 hours,rarely,never,sometimes,never,often,often,often,yes
female,8 to 10 hours,more than 8 hours,always,1 to 3 hours,1 to 3 hours,7 to 9 hours,always,always,never,never,never,sometimes,always,no
male,less than 2 hours,less than 4 hours,sometimes,more than 9 hours,less than 1 hour,less than 1 hour,never,rarely,always,always,sometimes,often,often,yes
male,2 to 4 hours,4 to 6 hours,sometimes,4 to 6 hours,less than 1 hour,more than 9 hours,never,never,never,never,rarely,sometimes,sometimes,no
male,more than 10 hours,4 to 6 hours,never,1 to 3 hours,less than 1 hour,more than 9 hours,sometimes,never,sometimes,never,often,sometimes,never,no
male,less than 2 hours,4 to 6 hours,sometimes,4 to 6 hours,more than 9 hours,7 to 9 hours,often,always,never,never,never,rarely,always,no
male,5 to 7 hours,7 to 8 hours,always,more than 9 hours,4 to 6 hours,more than 9 hours,sometimes,never,often,rarely,always,never,always,yes
female,less than 2 hours,7 to 8 hours,never,4 to 6 hours,less than 1 hour,7 to 9 hours,sometimes,often,often,never,never,rarely,always,no
female,less than 2 hours,7 to 8 hours,always,1 to 3 hours,less than 1 hour,4 to 6 hours,rarely,sometimes,rarely,never,rarely,often,often,no
female,5 to 7 hours,7 to 8 hours,rarely,less than 1 hour,less than 1 hour,1 to 3 hours,rarely,sometimes,rarely,always,rarely,sometimes,never,no
female,more than 10 hours,more than 8 hours,often,4 to 6 hours,7 to 9 hours,1 to 3 hours,never,rarely,never,never,sometimes,never,rarely,no
male,5 to 7 hours,less than 4 hours,never,4 to 6 hours,7 to 9 hours,4 to 6 hours,sometimes,rarely,rarely,often,sometimes,never,rarely,yes
female,more than 10 hours,more than 8 hours,rarely,less than 1 hour,1 to 3 hours,less than 1 hour,never,never,never,sometimes,sometimes,rarely,often,no
male,8 to 10 hours,more than 8 hours,rarely,less than 1 hour,7 to 9 hours,more than 9 hours,never,never,never,always,sometimes,always,often,yes
female,8 to 10 hours,7 to 8 hours,sometimes,more than 9 hours,7 to 9 hours,more than 9 hours,often,never,often,sometimes,rarely,rarely,always,no
male,more than 10 hours,less than 4 hours,always,1 to 3 hours,more than 9 hours,less than 1 hour,rarely,sometimes,rarely,often,always,always,rarely,yes
male,more than 10 hours,more than 8 hours,often,4 to 6 hours,more than 9 hours,less than 1 hour,always,never,often,sometimes,sometimes,rarely,often,yes
female,more than 10 hours,less than 4 hours,sometimes,4 to 6 hours,7 to 9 hours,7 to 9 hours,never,always,always,sometimes,sometimes,often,never,yes
male,2 to 4 hours,more than 8 hours,sometimes,1 to 3 hours,more than 9 hours,1 to 3 hours,often,never,often,rarely,often,rarely,never,no
female,less than 2 hours,7 to 8 hours,rarely,less than 1 hour,more than 9 hours,7 to 9 hours,often,sometimes,rarely,never,often,always,rarely,no
female,5 to 7 hours,4 to 6 hours,often,more than 9 hours,1 to 3 hours,4 to 6 hours,often,often,sometimes,sometimes,never,never,always,no
female,more than 10 hours,4 to 6 hours,always,more than 9 hours,4 to 6 hours,less than 1 hour,sometimes,rarely,sometimes,sometimes,never,always,rarely,yes
female,8 to 10 hours,more than 8 hours,rarely,1 to 3 hours,more than 9 hours,1 to 3 hours,sometimes,always,never,often,never,sometimes,often,yes
male,more than 10 hours,more than 8 hours,often,less than 1 hour,4 to 6 hours,more than 9 hours,rarely,often,sometimes,sometimes,never,sometimes,rarely,no
female,5 to 7 hours,less than 4 hours,never,less than 1 hour,4 to 6 hours,4 to 6 hours,often,never,rarely,sometimes,never,rarely,never,no
female,more than 10 hours,more than 8 hours,often,more than 9 hours,less than 1 hour,1 to 3 hours,never,sometimes,rarely,rarely,sometimes,sometimes,rarely,no
male,more than 10 hours,more than 8 hours,never,1 to 3 hours,1 to 3 hours,7 to 9 hours,often,always,sometimes,often,often,often,never,yes
male,more than 10 hours,less than 4 hours,never,7 to 9 hours,7 to 9 hours,1 to 3 hours,never,never,never,often,never,rarely,rarely,yes
male,more than 10 hours,more than 8 hours,never,1 to 3 hours,more than 9 hours,more than 9 hours,rarely,never,sometimes,always,never,always,never,yes
female,5 to 7 hours,7 to 8 hours,rarely,4 to 6 hours,4 to 6 hours,4 to 6 hours,often,rarely,rarely,sometimes,never,rarely,rarely,no
male,5 to 7 hours,less than 4 hours,rarely,less than 1 hour,7 to 9 hours,more than 9 hours,always,often,rarely,never,never,sometimes,never,no
female,more than 10 hours,7 to 8 hours,often,more than 9 hours,more than 9 hours,1 to 3 hours,never,sometimes,always,never,sometimes,sometimes,often,yes
female,more than 10 hours,more than 8 hours,sometimes,less than 1 hour,less than 1 hour,4 to 6 hours,sometimes,never,often,always,rarely,never,never,no
female,more than 10 hours,4 to 6 hours,rarely,7 to 9 hours,4 to 6 hours,less than 1 hour,rarely,sometimes,often,sometimes,always,always,rarely,yes
female,2 to 4 hours,more than 8 hours,rarely,7 to 9 hours,4 to 6 hours,more than 9 hours,sometimes,always,sometimes,sometimes,often,never,always,yes
female,2 to 4 hours,more than 8 hours,never,7 to 9 hours,4 to 6 hours,4 to 6 hours,sometimes,sometimes,rarely,never,often,sometimes,never,no
male,5 to 7 hours,4 to 6 hours,always,less than 1 hour,less than 1 hour,7 to 9 hours,always,rarely,rarely,often,always,always,sometimes,no
male,more than 10 hours,4 to 6 hours,always,4 to 6 hours,1 to 3 hours,less than 1 hour,often,never,always,rarely,sometimes,rarely,sometimes,no
male,8 to 10 hours,4 to 6 hours,rarely,7 to 9 hours,less than 1 hour,less than 1 hour,always,rarely,rarely,often,always,always,rarely,yes
female,2 to 4 hours,less than 4 hours,sometimes,less than 1 hour,less than 1 hour,1 to 3 hours,rarely,never,always,often,always,never,often,yes
female,more than 10 hours,7 to 8 hours,rarely,more than 9 hours,7 to 9 hours,4 to 6 hours,often,always,never,sometimes,often,never,sometimes,yes
female,2 to 4 hours,less than 4 hours,always,more than 9 hours,1 to 3 hours,1 to 3 hours,often,never,rarely,never,always,sometimes,often,no
male,more than 10 hours,more than 8 hours,always,1 to 3 hours,4 to 6 hours,less than 1 hour,never,never,sometimes,always,never,never,often,yes
female,less than 2 hours,more than 8 hours,always,more than 9 hours,4 to 6 hours,less than 1 hour,never,sometimes,always,rarely,sometimes,often,always,yes
female,more than 10 hours,4 to 6 hours,always,more than 9 hours,4 to 6 hours,more than 9 hours,always,often,often,always,always,sometimes,never,yes
female,2 to 4 hours,7 to 8 hours,sometimes,4 to 6 hours,more than 9 hours,1 to 3 hours,never,always,rarely,rarely,rarely,rarely,rarely,no
male,more than 10 hours,7 to 8 hours,never,1 to 3 hours,7 to 9 hours,7 to 9 hours,never,always,never,sometimes,always,never,rarely,yes
male,less than 2 hours,more than 8 hours,often,more than 9 hours,4 to 6 hours,more than 9 hours,sometimes,often,never,never,rarely,never,often,no
male,5 to 7 hours,more than 8 hours,always,7 to 9 hours,more than 9 hours,7 to 9 hours,sometimes,rarely,never,rarely,often,sometimes,never,no
